acs_met2013,pre_covid_slr,hhinc,pov,college,employed,renter,age25_44,age45_64,commute,density,vacancy,valueh,rooms,bedrooms,valueh_pre,valueh_post,log_value_change,met2013,statefip
"sacramento--roseville--arden-arcade, ca",.99841893,271936.1944440455,317.18875,.23524757,.44962451,.38026011,.26278967,.26115608,11.105589,3648.003604777715,0,4321397.960851837,5.8897648,3.9827273,4287505.785828635,4076769.09681386,-.050400376,"Sacramento--Roseville--Arden-Arcade, CA",6
"saginaw, mi",.97332275,372933.0455693566,268.54443,.15475874,.39994273,.23031013,.22611775,.26728642,9.1442127,684.7000000000004,0,2835667.520292685,6.2781138,3.9274693,2836980.760065251,2982595.466426509,.050053511,"Saginaw, MI",26
"salinas, ca",.98864537,475584.9939991101,291.56155,.16794443,.46041402,.45921564,.27355248,.24097016,10.648033,2754.356787780004,0,5426764.159135371,5.185956,3.6646903,5472114.687061253,5501056.812382377,.0052750823,"Salinas, CA",6
"salisbury, md-de",.97117317,469301.6050419225,312.82993,.19721395,.45206472,.25416631,.20691687,.28136754,10.547795,347.5274840038048,0,3298619.431346093,6.251235,3.9577718,3292962.364607248,2849695.418573746,-.14457546,"Salisbury, MD-DE",10
"salt lake city, ut",.9982301,213505.9355583196,316.05121,.20961246,.49724239,.28206787,.29213789,.21372925,10.182966,3506.450399557994,0,3239277.623294564,7.2186852,4.5406313,3229658.711580901,3157086.513791786,-.022726856,"Salt Lake City, UT",49
"san antonio-new braunfels, tx",.9895997,279130.9747878182,291.11249,.19541374,.46233055,.33907762,.27130136,.24474496,11.488893,3046.866635637703,0,3880159.075358581,5.9576774,3.9327605,3856313.28397289,3629418.257346404,-.060639244,"San Antonio-New Braunfels, TX",48
"san diego-carlsbad, ca",.99079335,391740.3277759277,319.70184,.26753533,.49242118,.45251039,.28399068,.25089812,11.492449,5395.926450027473,0,5232014.907109785,5.4278235,3.7667348,5222730.624043634,5041390.619238187,-.035338413,"San Diego-Carlsbad, CA",6
"san francisco-oakland-hayward, ca",1.027932,325303.1953415748,368.81265,.3686564,.52042705,.42070481,.30039451,.27085182,15.648013,9637.483628111482,0,5020963.691170359,5.4806142,3.7386847,5016417.293440773,4912797.202281535,-.020872518,"San Francisco-Oakland-Hayward, CA",6
"san jose-sunnyvale-santa clara, ca",1.0410848,347337.8431708126,373.41971,.37218106,.50638902,.40373957,.29613686,.26029328,13.204079,7232.897628842215,0,4954433.026996083,5.4926739,3.8692079,4950369.536740853,5208762.533175439,.050880082,"San Jose-Sunnyvale-Santa Clara, CA",6
"san luis obispo-paso robles-arroyo grande, ca",.98691791,717452.2511300504,318.36731,.25442013,.49428824,.33407262,.22938462,.2603724,9.9569826,1048.941566391146,0,4443473.033660996,5.5282354,3.6805601,4427390.048334097,4518881.080972598,.020454159,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",6
