zillow_regionname,acs_regionname,acs_met2013,match_method
crestview fort walton beach destin fl,"Crestview, FL",,substring
dallas fort worth arlington tx,"Dallas, TX",,substring
daphne fairhope foley al,"Daphne, AL",,substring
davenport moline rock island ia il,"Davenport, IA",,substring
deltona daytona beach ormond beach fl,"Deltona, FL",,substring
denver aurora lakewood co,"Denver, CO",,substring
des moines west des moines ia,"Des Moines, IA",,substring
detroit warren dearborn mi,"Detroit, MI",,substring
durham chapel hill nc,"Durham, NC",,substring
el centro ca,"Bakersfield, CA","Bakersfield, CA",substring
elizabethtown fort knox ky,"Elizabethtown, KY",,substring
elkhart goshen in,"Elkhart, IN",,substring
evansville in ky,"Evansville, IN",,substring
farmington nm,"Farmington, NM","Farmington, NM",substring
fayetteville springdale rogers ar mo,"Fayetteville, AR",,substring
florence muscle shoals al,"Florence, AL",,substring
gadsden al,"Gadsden, AL","Gadsden, AL",substring
grand rapids wyoming mi,"Grand Junction, CO","Grand Junction, CO",substring
greensboro high point nc,"Greensboro, NC",,substring
greenville anderson mauldin sc,"Greenville, NC","Greenville, NC",substring
gulfport biloxi pascagoula ms,"Gulfport, MS",,substring
hammond la,"Hammond, LA","Hammond, LA",substring
hanford corcoran ca,"Hanford, CA",,substring
harrisburg carlisle pa,"Harrisburg, PA",,substring
hartford west hartford east hartford ct,"Hartford, CT",,substring
hickory lenoir morganton nc,"Hickory, NC",,substring
hilton head island bluffton beaufort sc,"Hilton Head Island, SC",,substring
houma thibodaux la,"Houma, LA",,substring
houston the woodlands sugar land tx,"Houston, TX",,substring
indianapolis carmel anderson in,"Indianapolis, IN",,substring
ithaca ny,"Ithaca, NY","Ithaca, NY",substring
janesville beloit wi,"Janesville, WI",,substring
johnstown pa,"Johnstown, PA","Johnstown, PA",substring
kalamazoo portage mi,"Kalamazoo, MI",,substring
kansas city mo ks,"Kansas City, MO",,substring
kennewick richland wa,"Kennewick, WA",,substring
killeen temple tx,"Killeen, TX",,substring
kingsport bristol bristol tn va,"Kingsport, TN",,substring
la crosse onalaska wi mn,"Alexandria, LA","Alexandria, LA",substring
lafayette west lafayette in,"Lafayette, IN",,substring
lake havasu city kingman az,"Lake Charles, LA","Lake Charles, LA",substring
lakeland winter haven fl,"Lakeland, FL",,substring
lansing east lansing mi,"Lansing, MI",,substring
laredo tx,"Laredo, TX","Laredo, TX",substring
las vegas henderson paradise nv,"Dallas, TX",,substring
lawrence ks,"Lawrence, KS","Lawrence, KS",substring
lewiston auburn me,"Lewiston-Auburn, ME","Lewiston-Auburn, ME",substring
lima oh,"Lima, OH","Lima, OH",substring
little rock north little rock conway ar,"Little Rock, AR",,substring
los angeles long beach anaheim ca,"Los Angeles, CA",,substring
louisvillejefferson county ky in,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",substring
manchester nashua nh,"Manchester, NH",,substring
mankato north mankato mn,"Mankato, MN",,substring
mcallen edinburg mission tx,"McAllen, TX",,substring
memphis tn ms ar,"Memphis, TN",,substring
miami fort lauderdale west palm beach fl,"Miami, FL",,substring
michigan city la porte in,"Michigan City, IN",,substring
milwaukee waukesha west allis wi,"Milwaukee, WI",,substring
minneapolis st paul bloomington mn wi,"Minneapolis, MN",,substring
mount vernon anacortes wa,"Mount Vernon, WA",,substring
myrtle beach conway north myrtle beach sc nc,"Myrtle Beach, SC",,substring
naples immokalee marco island fl,"Naples, FL",,substring
nashville davidson murfreesboro franklin tn,"Nashville, TN",,substring
new haven milford ct,"Kennewick, WA",,substring
new orleans metairie la,"Kennewick, WA",,substring
new york newark jersey city ny nj pa,"Kennewick, WA",,substring
niles benton harbor mi,"Niles, MI",,substring
north port sarasota bradenton fl,"North Port, FL",,substring
norwich new london ct,"Norwich, CT",,substring
not in identifiable area,Not in identifiable area,Not in identifiable area,substring
ogden clearfield ut,"Ogden, UT",,substring
olympia tumwater wa,"Olympia, WA",,substring
omaha council bluffs ne ia,"Omaha, NE",,substring
orlando kissimmee sanford fl,"Orlando, FL",,substring
oshkosh neenah wi,"Oshkosh, WI",,substring
owensboro ky,"Owensboro, KY","Owensboro, KY",substring
oxnard thousand oaks ventura ca,"Oxnard, CA",,substring
palm bay melbourne titusville fl,"Palm Bay, FL",,substring
parkersburg vienna wv,"Parkersburg-Vienna, WV","Parkersburg-Vienna, WV",substring
pensacola ferry pass brent fl,"Pensacola, FL",,substring
philadelphia camden wilmington pa nj de md,"Philadelphia, PA",,substring
phoenix mesa scottsdale az,"Phoenix, AZ",,substring
portland south portland me,"Portland, ME",,substring
portland vancouver hillsboro or wa,"Portland, ME",,substring
prescott az,"Prescott Valley, AZ",,substring
providence warwick ri ma,"Providence, RI",,substring
provo orem ut,"Provo, UT",,substring
riverside san bernardino ontario ca,"Riverside, CA",,substring
sacramento roseville arden arcade ca,"Sacramento, CA",,substring
salisbury md de,"Salisbury, MD",,substring
san angelo tx,"San Antonio, TX",,substring
san antonio new braunfels tx,"San Antonio, TX",,substring
san diego carlsbad ca,"San Antonio, TX",,substring
san francisco oakland hayward ca,"San Antonio, TX",,substring
san jose sunnyvale santa clara ca,"San Antonio, TX",,substring
san luis obispo paso robles arroyo grande ca,"San Antonio, TX",,substring
santa cruz watsonville ca,"Santa Cruz, CA",,substring
